Point ID,vtkOriginalPointIds,Acceleration_0,Acceleration_1,Acceleration_2,Acceleration_Magnitude,Displacement_0,Displacement_1,Displacement_2,Displacement_Magnitude,ExtraDof1,Points_0,Points_1,Points_2,Points_Magnitude,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,0,0,0,0,0,0,0,0,0,3.9245e-09,42.6106,0.726335,0,42.6168,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1.54729e-09,43.1704,0.461436,0.538564,43.1762,0,0,0,0
2,2,0,0,0,0,0,0,0,0,3.9557e-09,42.6,1,0.269282,42.6126,0,0,0,0
3,3,0,0,0,0,0,0,0,0,5.02153e-09,42.3704,0.461436,0.538564,42.3763,0,0,0,0
4,4,0,0,0,0,0,0,0,0,1.12104e-44,87.391,1,0.275684,87.3972,0,0,0,0
5,5,0,0,0,0,0,0,0,0,1.12104e-44,87.403,0.728058,0,87.406,0,0,0,0
6,6,0,0,0,0,0,0,0,0,2.8026e-45,87.8933,0.5,0.499545,87.8961,0,0,0,0
7,7,0,0,0,0,0,0,0,0,1.68156e-44,87.1651,0.449642,0.550464,87.168,0,0,0,0
8,8,0,0,0,0,0,0,0,0,113.262,22.2,1,0.269282,22.2241,0,0,0,0
9,9,0,0,0,0,0,0,0,0,138.325,21.9719,0.463375,0.538107,21.9834,0,0,0,0
10,10,0,0,0,0,0,0,0,0,113.98,22.2,0.730718,0,22.212,0,0,0,0
11,11,0,0,0,0,0,0,0,0,66.6405,22.7704,0.461436,0.538564,22.7814,0,0,0,0
12,12,0,0,0,0,0,0,0,0,3.21672e-21,59.8,0.730718,0,59.8045,0,0,0,0
13,13,0,0,0,0,0,0,0,0,3.19601e-21,59.8,1,0.269282,59.809,0,0,0,0
14,14,0,0,0,0,0,0,0,0,4.69103e-21,59.5726,0.463532,0.53571,59.5768,0,0,0,0
15,15,0,0,0,0,0,0,0,0,9.86712e-22,60.3704,0.461436,0.538564,60.3746,0,0,0,0
16,16,0,0,0,0,0,0,0,0,0,91.8667,0,0.666667,91.8691,0,0,0,0
17,17,0,0,0,0,0,0,0,0,0,91.2296,0.538564,0.457354,91.2323,0,0,0,0
18,18,0,0,0,0,0,0,0,0,0,91.8,0.269282,1,91.8058,0,0,0,0
19,19,0,0,0,0,0,0,0,0,0,92.0699,0.555787,0.544585,92.0732,0,0,0,0
20,20,0,0,0,0,0,0,0,0,0,89.8109,0,0.266224,89.8113,0,0,0,0
21,21,0,0,0,0,0,0,0,0,0,89.8,0.269282,0,89.8004,0,0,0,0
22,22,0,0,0,0,0,0,0,0,0,89.4543,0,0.331121,89.4549,0,0,0,0
23,23,0,0,0,0,0,0,0,0,0,90.0296,0.542646,0.538564,90.0328,0,0,0,0
24,24,0,0,0,0,0,0,0,0,0,95.4094,0.722684,0,95.4121,0,0,0,0
25,25,0,0,0,0,0,0,0,0,0,95.4,1,0.269282,95.4056,0,0,0,0
